Designator,Footprint,Quantity,Value,LCSC Part #
A2,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C1,1206,1,100nF,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,StartP1,
J10,PinSocket_1x03_P2.54mm_Vertical,1,DEBUG,
J11,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,OLED,
J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Save,
J13,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RGB LED,
J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Load,
J16,PinSocket_2x03_P2.54mm_Vertical,1,RGB2,
J17,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Joystick,
J18,PinSocket_2x03_P2.54mm_Vertical,1,RGB3,
J19,PinSocket_2x03_P2.54mm_Vertical,1,RGB4,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,StartP2,
J20,PinSocket_1x05_P2.54mm_Vertical,1,RGB_CON,
J21,PinSocket_2x03_P2.54mm_Vertical,1,RGB1,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CoinP1,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CoinP2,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ActionP1_1,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ActionP1_2,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ActionP2_1,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ActionP2_2,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Pause,
R1,1206,1,10k,
"R2, R3, R4",1206,3,R,
"R5, R6",1206,2,4.7k,
U1,DIP-28_W7.62mm,1,MCP23017_SP,
