Designator,Mid X,Mid Y,Rotation,Layer
A2,130.01,-86.021,0.0,top
C1,104.14,-81.788,0.0,top
J1,52.638,-87.376,0.0,top
J10,110.744,-89.916,0.0,top
J11,49.276,-66.742,90.0,top
J12,88.706,-52.832,0.0,top
J13,159.512,-98.746,270.0,top
J14,74.99,-52.832,0.0,top
J16,76.708,-130.302,90.0,top
J17,58.774,-52.832,0.0,top
J18,76.708,-112.522,90.0,top
J19,66.548,-112.522,90.0,top
J2,66.274,-87.376,0.0,top
J20,58.928,-121.412,0.0,top
J21,66.548,-130.302,90.0,top
J3,80.07,-87.376,0.0,top
J4,93.786,-87.376,0.0,top
J5,52.598,-100.584,0.0,top
J6,66.354,-100.584,0.0,top
J7,80.03,-100.584,0.0,top
J8,93.472,-100.567,0.0,top
J9,102.422,-52.832,0.0,top
R1,149.352,-91.466,270.0,top
R2,149.352,-110.236,180.0,top
R3,149.352,-102.616,0.0,top
R4,149.352,-97.536,0.0,top
R5,112.268,-76.708,270.0,top
R6,99.568,-78.232,270.0,top
U1,77.47,-70.866,90.0,top
